 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.100,0.079,5.010,0,0.157,4.957,0,0.095,0.106,255,255
2,2,0.026,0.131,0.157,0,0.131,0.184,0,0.026,0.026,255,255
3,3,1.389,0.839,11.174,0,1.469,12.302,0,1.292,1.260,255,255
4,3,1.022,0.944,12.826,0,1.469,12.302,0,0.742,0.946,255,255
5,3,0.830,1.364,10.675,0,0.787,11.069,0,0.698,0.778,255,255
6,3,0.814,0.184,10.387,0,0.630,11.016,0,0.771,0.789,255,255
7,3,0.764,2.518,13.193,0,2.938,13.482,0,0.509,0.642,255,255
8,3,0.760,2.203,11.620,0,2.098,12.249,0,0.638,0.709,255,255
9,3,0.651,1.469,12.302,0,2.098,12.249,0,0.632,0.584,255,255
10,3,0.627,2.413,12.669,0,2.518,13.193,0,0.535,0.525,255,255
11,3,0.596,2.098,12.249,0,2.413,12.669,0,0.525,0.519,255,255
12,3,0.574,0.157,11.226,0,0.630,11.016,0,0.517,0.540,255,255
13,3,0.550,2.020,13.010,0,2.413,12.669,0,0.521,0.534,255,255
14,3,0.528,1.259,10.911,0,0.839,11.174,0,0.495,0.491,255,255
15,3,0.179,0.630,11.016,0,0.787,11.069,0,0.166,0.106,255,255
16,3,0.168,2.361,13.220,0,2.518,13.193,0,0.160,0.158,255,255
17,3,0.142,2.964,13.351,0,2.938,13.482,0,0.134,0.142,255,255
18,3,0.127,0.787,11.069,0,0.839,11.174,0,0.117,0.056,255,255
19,3,0.116,3.043,13.508,0,2.938,13.482,0,0.108,0.108,255,255
20,3,0.100,2.859,13.430,0,2.938,13.482,0,0.095,0.087,255,255
21,4,0.463,0.289,4.852,0,0.682,4.984,0,0.415,0.436,255,255
22,5,0.295,0.446,7.790,0,0.472,8.052,0,0.264,0.270,255,255
23,6,0.723,0.498,20.695,0,1.102,20.564,0,0.617,0.656,255,255
24,7,0.090,0.734,8.315,0,0.761,8.393,0,0.083,0.080,255,255
25,8,0.037,0.944,9.600,0,0.970,9.574,0,0.037,0.037,255,255
26,9,0.179,1.102,23.580,0,1.259,23.528,0,0.166,0.161,255,255
27,10,0.242,1.154,14.190,0,1.364,14.216,0,0.211,0.212,255,255
28,11,0.052,1.259,10.308,0,1.259,10.361,0,0.052,0.052,255,255
29,12,0.116,1.285,10.125,0,1.311,10.230,0,0.108,0.110,255,255
30,13,0.079,1.416,5.613,0,1.495,5.613,0,0.079,0.079,255,255
31,14,0.026,1.521,16.525,0,1.521,16.551,0,0.026,0.026,255,255
32,15,0.079,1.548,10.938,0,1.548,11.016,0,0.079,0.079,255,255
33,16,0.100,1.731,13.220,0,1.810,13.167,0,0.095,0.087,255,255
34,17,0.740,2.125,14.610,0,2.649,15.056,0,0.688,0.662,255,255
35,17,0.714,2.098,15.449,0,2.649,15.056,0,0.677,0.683,255,255
36,17,0.618,3.436,14.767,0,2.938,15.056,0,0.576,0.579,255,255
37,17,0.402,2.938,15.056,0,3.252,15.266,0,0.378,0.379,255,255
38,17,0.310,2.649,15.056,0,2.938,15.056,0,0.289,0.254,255,255
39,17,0.290,3.489,15.397,0,3.252,15.266,0,0.270,0.261,255,255
40,17,0.201,3.410,15.161,0,3.252,15.266,0,0.189,0.191,255,255
41,18,0.037,2.151,11.541,0,2.177,11.515,0,0.037,0.037,255,255
42,19,0.443,2.203,5.823,0,2.492,5.718,0,0.307,0.409,255,255
43,19,0.090,2.570,5.692,0,2.492,5.718,0,0.083,0.093,255,255
44,19,0.037,2.466,5.692,0,2.492,5.718,0,0.037,0.037,255,255
45,20,0.100,2.466,20.302,0,2.518,20.328,0,0.059,0.075,255,255
46,21,0.142,2.780,20.066,0,2.911,20.092,0,0.134,0.148,255,255
47,21,0.138,2.990,19.987,0,2.911,20.092,0,0.131,0.135,255,255
48,21,0.138,3.016,20.170,0,2.911,20.092,0,0.131,0.124,255,255
49,22,0.111,2.833,10.990,0,2.911,10.911,0,0.111,0.111,255,255
50,23,0.063,2.885,11.226,0,2.911,11.279,0,0.059,0.066,255,255
51,24,0.179,3.043,12.511,0,3.095,12.669,0,0.166,0.161,255,255
52,26,1.339,5.744,21.298,0,6.348,22.295,0,1.165,1.236,255,255
53,26,1.269,3.174,20.590,0,4.223,20.643,0,1.050,1.219,255,255
54,26,1.181,7.213,23.056,0,6.348,22.295,0,1.152,1.153,255,255
55,26,1.059,4.826,20.957,0,5.744,21.298,0,0.979,0.937,255,255
56,26,1.055,6.348,22.295,0,7.187,22.111,0,0.859,0.869,255,255
57,26,0.905,4.328,19.803,0,4.223,20.643,0,0.846,0.887,255,255
58,26,0.830,4.669,21.456,0,4.092,21.115,0,0.670,0.769,255,255
59,26,0.814,5.561,23.187,0,6.190,22.741,0,0.771,0.736,255,255
60,26,0.768,3.698,20.092,0,4.223,20.643,0,0.761,0.747,255,255
61,26,0.755,4.223,20.643,0,4.826,20.957,0,0.680,0.560,255,255
62,26,0.609,6.820,23.502,0,6.374,23.108,0,0.595,0.609,255,255
63,26,0.541,4.092,21.115,0,4.223,20.643,0,0.490,0.440,255,255
64,26,0.511,6.190,22.741,0,6.348,22.295,0,0.473,0.416,255,255
65,26,0.487,6.216,20.931,0,5.849,21.167,0,0.437,0.482,255,255
66,26,0.480,6.190,22.741,0,6.374,23.108,0,0.411,0.431,255,255
67,26,0.439,4.223,21.613,0,3.987,21.272,0,0.415,0.421,255,255
68,26,0.413,7.502,21.875,0,7.187,22.111,0,0.393,0.380,255,255
69,26,0.406,3.646,21.430,0,3.987,21.272,0,0.376,0.384,255,255
70,26,0.402,7.502,22.321,0,7.187,22.111,0,0.378,0.335,255,255
71,26,0.326,4.852,21.272,0,4.826,20.957,0,0.316,0.321,255,255
72,26,0.326,5.823,20.852,0,5.849,21.167,0,0.316,0.321,255,255
73,26,0.232,5.351,23.187,0,5.561,23.187,0,0.210,0.217,255,255
74,26,0.201,3.987,21.272,0,4.092,21.115,0,0.189,0.120,255,255
75,26,0.179,6.321,23.266,0,6.374,23.108,0,0.166,0.165,255,255
